site,p_mm_wy,p_mm_jja,p_mm_son,p_mm_djf,p_mm_mam,pet_mm_wy,pet_mm_jja,pet_mm_son,pet_mm_djf,pet_mm_mam,T_max_c_wy,T_max_c_jja,T_max_c_son,T_max_c_djf,T_max_c_mam,T_min_c_wy,T_min_c_jja,T_min_c_son,T_min_c_djf,T_min_c_mam,pcumdist10days,pcumdist50days,pcumdist90days,drainagearea,wyearsdata,jjaflow,sonflow,djfflow,mamflow,jjanoflow,sonnoflow,djfnoflow,mamnoflow,jjacount,soncount,djfcount,mamcount,totaldataperwyear,totalflowperwyear,totalnoflowperwyear,annualfractionnoflow,jjafractionnoflow,sonfractionnoflow,djffractionnoflow,mamfractionnoflow,peakflow,peakflowmmd,peakdatewy,lowflow,lowflowmmd,lowdatewy,zeroflowfirst,zeroflowcentroiddate,zeroflowfirstjja,zeroflowcentroiddatejja,zeroflowfirstson,zeroflowcentroiddateson,zeroflowfirstdjf,zeroflowcentroiddatedjf,zeroflowfirstmam,zeroflowcentroiddatemam,area_norm_yield_mm,cumdist10days,cumdist50days,cumdist90days,totalflowperiods,meanlengthflow,maxlengthflow,minlengthflow,medianlengthflow,totalnoflowperiods,meanlengthnoflow,maxlengthnoflow,minlengthnoflow,medianlengthnoflow,cvlengthflow,cvlengthnoflow,station_nm,dec_lat_va,dec_long_va,DRAIN_SQKM,STATE,CLASS,SNOW_PCT_PRECIP,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_DESC,FRESHW_WITHDRAWAL,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,IMPNLCD06,ELEV_MEAN_M_BASIN,SLOPE_PCT,AWCAVE,PERMAVE,CLAYAVE,SILTAVE,SANDAVE,ECO3_SITE,ECO3
1382500,NA,NA,NA,2.174242424,NA,3.2622448,1.449161939,0.780169895,NA,0.703852383,NA,NA,NA,NA,NA,0.032622583,0.039125886,0.051027657,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,-1.666666667,0.078174603,0.001154857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pequannock River at Macopin Intake Dam NJ,41.0183333,-74.4011111,164.1,NJ,Non-ref,23.3,gneiss,gneiss,"Till, or ground moraine",302.3,0,0,0,5.73,72.1,0.55,5.59,0,0.7,317.1895,8.350098,0.08,2.24,9.66,41.45,48.89,58,Northeastern Highlands
1388000,NA,NA,NA,2.77538462,NA,3.13145907,NA,0.78734309,NA,0.74013693,0.03624612,0.04653491,NA,NA,NA,0.02226451,0.04286119,0.03131579,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Ramapo River at Pompton Lakes NJ,40.99194444,-74.28,420.6,NJ,Non-ref,21.6,gneiss,gneiss,"Till, or ground moraine",288.8,0.12,3,55.7,25.28,61.32,0.93,3.28,0,4.88,209.3638,10.24818,0.12,3.82,7.95,47.77,44.28,64,Northern Piedmont
1395000,NA,NA,NA,2.4275,NA,4.977763393,1.978059002,1.153124084,0.673825336,0.947428426,0.02596517,0.040257159,NA,NA,0.046089548,0.033518814,0.040036838,0.048469672,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0.213684211,0.004916444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Rahway River at Rahway NJ,40.61888889,-74.2833333,107.9,NJ,Non-ref,17.2,sedimentary,sedimentary,"Till, or ground moraine",123,0,0,0,79.42,15.77,0.12,0.49,0,24.82,66.79955,3.825389,0.11,1.03,11.9,52.06,36.04,64,Northern Piedmont
1398000,NA,NA,NA,2.75777778,NA,2.33249057,1.38650751,NA,NA,NA,NA,0.04106523,NA,NA,0.04619575,0.03934354,0.04864157,0.05342989,NA,0.03578339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neshanic River at Reaville NJ,40.4733333,-74.82777778,66,NJ,Non-ref,17.9,sedimentary,sedimentary,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from parent rock",121.4,0.19,0,0,19.22,28,46.73,0.03,0,4.41,82.10831,3.305105,0.14,2.21,20.55,55.52,23.93,64,Northern Piedmont
1401650,NA,NA,NA,2.45,NA,3.05939081,1.61530499,0.83965774,NA,NA,NA,0.04211637,NA,NA,0.04425747,0.03495049,0.04420118,0.04901397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pike Run at Belle Mead NJ,40.46805556,-74.64888889,13.3,NJ,Non-ref,17,sedimentary,sedimentary,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from parent rock",259.5,0,0,0,25.21,42.68,21.03,0,0,9.19,46.3106,2.867316,0.13,2.27,21.46,55.43,23.11,64,Northern Piedmont
1403150,NA,NA,NA,NA,NA,3.89508827,1.81454018,1.08254088,0.53687761,0.79222662,NA,0.045489,NA,NA,0.04914673,0.0367538,0.04587882,0.05081412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,West Branch Middle Brook near Martinsville NJ,40.6122222,-74.5908333,5,NJ,Non-ref,18.6,sedimentary,sedimentary,"Till, or ground moraine",259.5,0,0,0,35.1,51.15,5.73,0,0,4.87,104.5615,5.526946,0.13,1.91,22.86,53.16,23.99,64,Northern Piedmont
1403400,NA,NA,NA,2.471,NA,4.866522946,1.987421995,1.120269044,0.683830402,0.964330201,0.027246194,0.044990078,NA,NA,0.050000495,0.038000537,0.044326893,0.050474952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.026666667,-0.004027937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Green Brook at Seeley Mills NJ,40.6661111,-74.40388889,16.3,NJ,Non-ref,17.3,sedimentary,sedimentary,"Till, or ground moraine",147,0,0,0,43.32,52.3,0.56,0.15,0,10.05,116.9101,7.369419,0.12,1.63,18.58,50.89,30.53,64,Northern Piedmont
1403540,NA,NA,NA,2.62611111,NA,4.76754587,1.96856022,1.08635253,0.65545561,1.00644726,0.02640619,0.04581787,NA,NA,0.05057483,0.03758549,0.04533392,0.04962025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stony Brook at Watchung NJ,40.63638889,-74.45138889,14.1,NJ,Non-ref,17.3,sedimentary,sedimentary,"Till, or ground moraine",258.1,0,0,0,39.76,59.51,0.15,0.2,0,5.44,110.7558,8.485451,0.13,1.39,24.25,51.46,24.29,64,Northern Piedmont
1405400,NA,NA,NA,3.07269231,NA,3.66718038,1.57712411,0.82929294,NA,NA,NA,0.03900005,NA,NA,0.04511747,0.0320143,0.04404709,0.04405502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manalapan Brook at Spotswood NJ,40.38944444,-74.3905556,100.8,NJ,Non-ref,16.4,sedimentary,sedimentary,"Sandy residuum, derived by intensive weathering of sandstone formations. Sand locally is in dunes",66.1,2.49,0,0,34.18,33.3,17.22,0.38,0,8.84,34.6131,1.490574,0.12,7.13,13.55,25.92,60.53,84,Atlantic Coastal Pine Barrens
1407500,NA,NA,NA,3.76,NA,4.172721165,1.695171523,1.02506096,0.742736667,0.945800334,0.031476963,0.050986718,NA,NA,NA,NA,0.037215771,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.076923077,NA,NA,-0.4,-1.076923077,0,NA,NA,NA,NA,NA,NA,4,-4,-0.010958904,-0.004347826,-0.01183432,0,NA,NA,NA,NA,0.027037037,0.000517126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.777777778,5.133333333,4.28,7.166666667,-0.068965517,NA,NA,NA,NA,NA,NA,Swimming River near Red Bank NJ,40.3197222,-74.1155556,127.5,NJ,Non-ref,16.3,sedimentary,sedimentary,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",51.9,0.56,0,0,36,34.96,18.67,1.76,0,7.29,38.3353,2.570174,0.12,6.71,14.41,26.32,59.27,84,Atlantic Coastal Pine Barrens
1407705,NA,NA,NA,3.448666667,NA,3.287318391,1.349648619,0.840186771,NA,NA,0.027192877,0.042724669,NA,NA,0.048221954,0.028192413,0.042112625,0.041510081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091111111,0.008608233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.465784536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shark River near Neptune City NJ,40.1986111,-74.07,25,NJ,Non-ref,16.9,sedimentary,sedimentary,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",51.9,0,0,0,32.25,38.57,3.4,1.89,0,11.37,28.63987,2.017978,0.09,11.34,6.73,16.56,76.71,84,Atlantic Coastal Pine Barrens
1472620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03913961,NA,NA,0.04233778,0.03741941,0.05025139,0.05816736,NA,0.0328612,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5326087,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"East Branch Perkiomen Creek near Dublin, PA",40.40399276,-75.2343416,10.5,PA,Non-ref,19,ultramafic,ultramafic,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from parent rock",81.3,0,0,0,7.14,23.85,57.43,0.14,0,1.32,126.8032,2.446023,0.12,1.08,22.63,59.48,17.89,64,Northern Piedmont
1483200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02231416,0.04002256,0.03241464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLACKBIRD CREEK AT BLACKBIRD, DE",39.36627778,-75.66938889,10.8,DE,Non-ref,12,sedimentary,sedimentary,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",498.8,0,0,0,5.87,36.05,45.36,0.27,0,0.43,18.4716,0.45845,0.12,6.22,14.56,29.58,55.86,63,Middle Atlantic Coastal Plain
1585200,NA,4.85130435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02185992,0.03232788,0.03458221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST BRANCH HERRING RUN AT IDLEWYLDE, MD",39.37363889,-76.5843333,6,MD,Non-ref,11.1,sedimentary,sedimentary,Clay residuum with little mica or quartz; mostly massive kaolinitic clay,220.1,0,0,0,86.64,12.96,0,0.13,0,24.2,127.1069,3.449082,0.14,2.55,18.64,49.64,31.72,65,Southeastern Plains
1594950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03740266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCMILLAN F NEAR FORT PENDLETON, MD",39.27669444,-79.3903056,6.1,MD,Ref,25,sedimentary,sedimentary,Sandy and stony colluvium derived mostly from sandstone and shale,7.2,0,0,0,2.52,79.74,14.14,0,0,0.1,843.3489,10.54187,0.11,5.01,21.1,52.76,26.14,69,Central Appalachians
1613050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03031704,0.02813675,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tonoloway Creek near Needmore, PA",39.89842119,-78.132229,27.9,PA,Ref,18,sedimentary,sedimentary,Sandy and stony colluvium derived mostly from sandstone and shale,2.4,0,0,0,4.98,74.76,20.26,0,0,0.32,372.8309,14.88402,0.09,7.04,15.84,47.64,36.52,67,Ridge and Valley
1643700,7.425,NA,NA,NA,NA,2.21887653,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02142569,0.03592163,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOOSE CREEK NEAR MIDDLEBURG, VA",38.98649818,-77.7966614,315.1,VA,Ref,12.9,gneiss,gneiss,Stony colluvium on metamorphic rocks; less silt and clay than in co/ls,7.7,0.48,0,0,5.54,46.6,47.57,0.18,0,0.54,231.4298,8.858181,0.15,3.1,27.61,38.89,33.5,64,Northern Piedmont
1653600,NA,NA,NA,NA,NA,2.4840242,1.38079886,NA,NA,NA,NA,NA,NA,NA,NA,0.02489692,0.04331957,0.03964839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PISCATAWAY CREEK AT PISCATAWAY, MD",38.70577778,-76.9661944,102.7,MD,Non-ref,10.6,sedimentary,sedimentary,"Intensively weathered upper Tertiary- and Quaternary-age gravels; thickness generally less than 30 feet, distribution not completely known",59.6,0,0,0,35.15,45.01,9.76,0.15,0,8.7,60.39517,2.845059,0.14,3.87,18.99,43.87,37.14,65,Southeastern Plains
