site,p_mm_wy,p_mm_jja,p_mm_son,p_mm_djf,p_mm_mam,pet_mm_wy,pet_mm_jja,pet_mm_son,pet_mm_djf,pet_mm_mam,T_max_c_wy,T_max_c_jja,T_max_c_son,T_max_c_djf,T_max_c_mam,T_min_c_wy,T_min_c_jja,T_min_c_son,T_min_c_djf,T_min_c_mam,pcumdist10days,pcumdist50days,pcumdist90days,drainagearea,wyearsdata,jjaflow,sonflow,djfflow,mamflow,jjanoflow,sonnoflow,djfnoflow,mamnoflow,jjacount,soncount,djfcount,mamcount,totaldataperwyear,totalflowperwyear,totalnoflowperwyear,annualfractionnoflow,jjafractionnoflow,sonfractionnoflow,djffractionnoflow,mamfractionnoflow,peakflow,peakflowmmd,peakdatewy,lowflow,lowflowmmd,lowdatewy,zeroflowfirst,zeroflowcentroiddate,zeroflowfirstjja,zeroflowcentroiddatejja,zeroflowfirstson,zeroflowcentroiddateson,zeroflowfirstdjf,zeroflowcentroiddatedjf,zeroflowfirstmam,zeroflowcentroiddatemam,area_norm_yield_mm,cumdist10days,cumdist50days,cumdist90days,totalflowperiods,meanlengthflow,maxlengthflow,minlengthflow,medianlengthflow,totalnoflowperiods,meanlengthnoflow,maxlengthnoflow,minlengthnoflow,medianlengthnoflow,cvlengthflow,cvlengthnoflow,agency_cd,station_nm,dec_lat_va,dec_long_va,DRAIN_SQKM,STATE,CLASS,SNOW_PCT_PRECIP,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_DESC,FRESHW_WITHDRAWAL,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,IMPNLCD06,ELEV_MEAN_M_BASIN,SLOPE_PCT,AWCAVE,PERMAVE,CLAYAVE,SILTAVE,SANDAVE,ECO3_SITE,ECO3,TOPWET
1382500,1297.730571,352.3325714,332.6157143,282.6517143,329.1437143,1021.749932,421.627731,202.2732766,99.10658672,295.6970861,14.91167094,26.18932979,16.18484071,2.622586809,14.22018889,3.996284083,14.65444869,5.215550405,-6.837399469,2.587442741,41,192.5428571,327.9428571,165.61363,36,92,89.84375,90.25,91.96875,0,0.71875,0,0.03125,92,90.5625,90.25,92,364.8125,364.0625,0.75,0.002084593,0,0.008397852,0,0.000339674,1167.865625,17.25263506,181.28125,1.434375,0.021189722,195.34375,12.33333333,24.64351852,NA,NA,34,37.46875,NA,NA,79,79,341.9459186,94.84375,171.5625,253.0625,1.15625,345.015625,358.78125,332.40625,344.4375,0.1875,3.666666667,#NAME?,Inf,4,1.217197014,0.81900522,USGS,Pequannock River at Macopin Intake Dam NJ,41.0183333,-74.4011111,164.1,NJ,Non-ref,23.3,gneiss,gneiss,"Till, or ground moraine",302.3,0,0,0,5.73,72.1,0.55,5.59,0,0.7,317.1895,8.350098,0.08,2.24,9.66,41.45,48.89,58,Northeastern Highlands,11.54311
1388000,1285.259714,362.5717143,325.8017143,268.8817143,327.1497143,1050.106685,435.158036,206.8946954,102.6469609,302.3132924,21.01914612,30.92466532,22.30521932,11.6735704,18.87198674,8.428101269,15.67495686,9.234014654,2.261294432,6.339627988,40.51428571,196.6857143,326.7714286,415.984,39,89.88571429,90.14285714,89.8,91.45714286,2.114285714,0.857142857,0.457142857,0.542857143,92,91,90.25714286,92,365.2571429,361.2857143,3.971428571,0.010880626,0.022981366,0.009419152,0.005079365,0.005900621,4042.857143,23.77773078,154.0857143,22.18714286,0.13049185,251.2,121,187.5332168,3,47.81081081,30.5,46.375,8,33.9375,61,77.57894737,636.7275074,59.65714286,163.9428571,275.6,1.457142857,346.4441558,357.2857143,344.5428571,345.0857143,0.457142857,7.683333333,#NAME?,Inf,5.75,2.253038827,0.853093697,USGS,Ramapo River at Pompton Lakes NJ,40.99194444,-74.28,420.6,NJ,Non-ref,21.6,gneiss,gneiss,"Till, or ground moraine",288.8,0.12,3,55.7,25.28,61.32,0.93,3.28,0,4.88,209.3638,10.24818,0.12,3.82,7.95,47.77,44.28,64,Northern Piedmont,11.58339
1395000,1251.562571,347.3334286,311.142,271.0094286,320.7282857,1156.04338,468.3874072,231.4696707,126.8134935,326.0530512,17.25655938,28.478054,18.41805697,5.12515081,16.58066972,6.598936829,17.36741149,7.58849838,-4.002926463,5.07177815,41.48571429,195.3142857,326.6857143,106.33591,39,91.8,89.88571429,90.25714286,92,0.2,1.114285714,0,0,92,91,90.25714286,92,365.2571429,363.9428571,1.314285714,0.003599713,0.002173913,0.012244898,0,0,1450.542857,33.37407592,201.5428571,4.139428571,0.095239932,219.6857143,5,189.1280193,57.5,59.41666667,6.666666667,22.7372134,NA,NA,NA,NA,495.681782,57.02857143,178.2571429,306.0571429,1.314285714,347.6557143,359.2857143,344.6857143,345.3714286,0.342857143,2.5625,#NAME?,Inf,1.75,1.764032474,0.889511417,USGS,Rahway River at Rahway NJ,40.61888889,-74.2833333,107.9,NJ,Non-ref,17.2,sedimentary,sedimentary,"Till, or ground moraine",123,0,0,0,79.42,15.77,0.12,0.49,0,24.82,66.79955,3.825389,0.11,1.03,11.9,52.06,36.04,64,Northern Piedmont,12.35078
1398000,1257.607429,355.3442857,307.7231429,270.4128571,322.8591429,1118.212841,457.6323907,221.9599224,114.4340302,320.9117151,17.14015557,28.44080044,18.35025269,4.801419153,16.53743852,4.855569246,15.41422682,5.732573861,-5.496018599,3.409126292,43.05714286,198.5142857,324,66.81743,39,90.08571429,90.22857143,90.25714286,92,1.914285714,0.771428571,0,0,92,91,90.25714286,92,365.2571429,362.5714286,2.685714286,0.007354485,0.020807453,0.008477237,0,0,1446.428571,52.96218101,171.9142857,0.663142857,0.024281525,245.4285714,313.2,325.4166667,70,76.25,3.666666667,7.666666667,NA,NA,NA,NA,563.9558033,63.88571429,156.6285714,264.2285714,1.228571429,332.747619,357.6857143,315.6,324.9571429,0.228571429,15.9,#NAME?,Inf,15.9,1.34082463,0.549971941,USGS,Neshanic River at Reaville NJ,40.4733333,-74.82777778,66,NJ,Non-ref,17.9,sedimentary,sedimentary,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from parent rock",121.4,0.19,0,0,19.22,28,46.73,0.03,0,4.41,82.10831,3.305105,0.14,2.21,20.55,55.52,23.93,64,Northern Piedmont,12.32997
1401650,1218.813429,350.3088571,292.6994286,260.8705714,313.5825714,1100.740779,450.3612622,217.7848425,113.9067861,315.4684122,17.36229493,28.58509216,18.61278342,5.172439505,16.65611704,5.822241201,16.39837561,6.896112482,-4.677937935,4.309361575,42.94285714,196.6,322.7714286,13.935464,38,88,86.88571429,89.62857143,92,4,4.114285714,0.628571429,0,92,91,90.25714286,92,365.2571429,356.5142857,8.742857143,0.02394897,0.043478261,0.045211931,0.006984127,0,371.4285714,65.20974636,172.2857143,0.129142857,0.022672927,265.3142857,213.1666667,256.6163451,63.33333333,72.87644797,8.285714286,20.95691063,2,16.13636364,NA,NA,587.0451235,63.11428571,160.0857143,276.8571429,1.914285714,289.8297619,346.0571429,253.6,283.6,1.028571429,8.326388889,#NAME?,Inf,8.083333333,1.573426172,0.714847441,USGS,Pike Run at Belle Mead NJ,40.46805556,-74.64888889,13.3,NJ,Non-ref,17,sedimentary,sedimentary,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from parent rock",259.5,0,0,0,25.21,42.68,21.03,0,0,9.19,46.3106,2.867316,0.13,2.27,21.46,55.43,23.11,64,Northern Piedmont,12.34567
1403150,1217.213714,353.2408571,295.1482857,258.9005714,308.996,1061.428444,434.6786979,209.7229436,110.1251165,303.7111075,16.85812178,28.00992562,18.08613695,4.711057621,16.20318778,5.125999625,16.00055214,6.079016166,-5.594565708,3.641745497,42.8,198.3428571,325.2285714,5.173801,39,92,91,90.25714286,91.97142857,0,0,0,0,92,91,90.25714286,91.97142857,365.2285714,365.2285714,0,0,0,0,0,0,106.6171429,50.41687885,162.4285714,0.137714286,0.065122027,252.3714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591.6810384,60.57142857,162.9142857,282.5428571,1,365.2285714,365.2285714,365.2285714,365.2285714,0,NA,#NAME?,Inf,NA,NA,NA,USGS,West Branch Middle Brook near Martinsville NJ,40.6122222,-74.5908333,5,NJ,Non-ref,18.6,sedimentary,sedimentary,"Till, or ground moraine",259.5,0,0,0,35.1,51.15,5.73,0,0,4.87,104.5615,5.526946,0.13,1.91,22.86,53.16,23.99,64,Northern Piedmont,12.03195
1403400,1255.474286,351.7897143,313.6342857,270.3308571,318.4571429,1124.800553,457.3734779,224.7058249,120.763141,318.7207157,16.97167584,28.15919954,18.12707823,4.812879625,16.3594932,5.844186489,16.72869912,6.896079281,-4.919994574,4.299637898,40.14285714,195.6285714,327.6,16.197377,39,92,90.88571429,90.25714286,92,0,0.114285714,0,0,92,91,90.25714286,92,365.2571429,365.1428571,0.114285714,0.000313112,0,0.001255887,0,0,267.6428571,40.42682211,174.8,1.109428571,0.167576568,224.7714286,NA,NA,NA,NA,11,12.5,NA,NA,NA,NA,571.3480584,59.57142857,173.3428571,290.5142857,1,365.2571429,365.2571429,365.2571429,365.2571429,0,NA,#NAME?,Inf,NA,NA,NA,USGS,Green Brook at Seeley Mills NJ,40.6661111,-74.40388889,16.3,NJ,Non-ref,17.3,sedimentary,sedimentary,"Till, or ground moraine",147,0,0,0,43.32,52.3,0.56,0.15,0,10.05,116.9101,7.369419,0.12,1.63,18.58,50.89,30.53,64,Northern Piedmont,9.971317
1403540,1237.238571,349.3731429,305.644,267.4942857,313.5331429,1113.551876,453.1895778,221.7668357,118.5487774,316.8123596,17.09456197,28.27292788,18.22997706,4.9437981,16.50408913,5.751062031,16.60905838,6.777072175,-4.961374847,4.207576246,41.25714286,195.2571429,326.8,14.325449,39,92,90.94285714,90.25714286,92,0,0.057142857,0,0,92,91,90.25714286,92,365.2571429,365.2,0.057142857,0.000156556,0,0.000627943,0,0,262.5885714,44.84625834,159.9142857,0.672571429,0.114865289,276.7142857,353,353.5,NA,NA,18,18.5,NA,NA,NA,NA,613.334773,60.17142857,165.2285714,285.6857143,1.028571429,360.0142857,364.8857143,355.1428571,360.0142857,0.028571429,2,#NAME?,Inf,2,1.32850365,NA,USGS,Stony Brook at Watchung NJ,40.63638889,-74.45138889,14.1,NJ,Non-ref,17.3,sedimentary,sedimentary,"Till, or ground moraine",258.1,0,0,0,39.76,59.51,0.15,0.2,0,5.44,110.7558,8.485451,0.13,1.39,24.25,51.46,24.29,64,Northern Piedmont,10.24893
1405400,1198.461429,341.8734286,282.8037143,265.0594286,306.668,1115.184709,455.1745337,222.0683714,120.1406175,314.7091339,17.73340614,28.7426617,18.98964576,5.950484775,16.84455405,6.09560435,16.48676952,7.066442699,-4.086483312,4.558339345,44.37142857,195.9714286,324.0857143,105.81593,39,92,90.82857143,90.22857143,92,0,0.171428571,0.028571429,0,92,91,90.25714286,92,365.2571429,365.0571429,0.2,0.000547304,0,0.00188383,0.000313972,0,739.3714286,17.09504497,183.1714286,9.036857143,0.208941641,253.3714286,147.3333333,147.4166667,NA,NA,31.4,31.5,86,86,NA,NA,516.5976466,52.08571429,168.2857143,304.8857143,1.171428571,333.8571429,358.0571429,309.6571429,333.8571429,0.171428571,1.166666667,#NAME?,Inf,1.166666667,1.097375867,NA,USGS,Manalapan Brook at Spotswood NJ,40.38944444,-74.3905556,100.8,NJ,Non-ref,16.4,sedimentary,sedimentary,"Sandy residuum, derived by intensive weathering of sandstone formations. Sand locally is in dunes",66.1,2.49,0,0,34.18,33.3,17.22,0.38,0,8.84,34.6131,1.490574,0.12,7.13,13.55,25.92,60.53,84,Atlantic Coastal Pine Barrens,13.35517
1407500,1204.821143,337.4402857,285.5348571,272.824,306.8102857,1171.917595,472.0569002,238.7643908,132.8119394,325.0019756,22.23264117,32.01246519,23.47806164,12.61799343,20.5194134,9.200750876,16.05714325,10.01869504,3.054796015,7.475396169,44.42857143,195.6571429,325.8,127.91508,39,72,64.71428571,84.62857143,91.42857143,20,26.28571429,5.628571429,0.571428571,92,91,90.25714286,92,365.2571429,312.7714286,52.48571429,0.143716702,0.217391304,0.288854003,0.062532705,0.00621118,1023.342857,19.57302958,159.4285714,0.596,0.01139943,262.6,72.63157895,196.5882806,29.93333333,56.34336156,4.388888889,33.86902966,1,20.2,61,80.7,339.0323491,79.37142857,168.4,263.2,1.971428571,236.772449,300.6,199.1714286,221.3285714,1.514285714,45.52192982,#NAME?,Inf,40.71052632,1.484964004,0.854562665,USGS,Swimming River near Red Bank NJ,40.3197222,-74.1155556,127.5,NJ,Non-ref,16.3,sedimentary,sedimentary,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",51.9,0.56,0,0,36,34.96,18.67,1.76,0,7.29,38.3353,2.570174,0.12,6.71,14.41,26.32,59.27,84,Atlantic Coastal Pine Barrens,12.65327
1407705,1193.918571,332.736,278.598,276.7094286,303.5857143,1147.900103,466.2473676,232.8238596,130.2381472,315.465768,17.20779195,27.78992194,18.63786203,6.130349934,15.90126024,6.6974549,17.01588437,7.907605876,-3.381575353,4.899228128,42.51428571,192.4857143,324.3714286,25.895004,39,92,90.94285714,90.25714286,92,0,0.057142857,0,0,92,91,90.25714286,92,365.2571429,365.2,0.057142857,0.000156556,0,0.000627943,0,0,284.0657143,26.83869985,173.6,1.77,0.167230667,231.2857143,3,3,NA,NA,20,26.5,NA,NA,NA,NA,542.638435,53.22857143,164.3142857,303.7142857,1.028571429,360.0285714,365.1714286,354.8857143,360.0285714,0.028571429,1,#NAME?,Inf,1,1.398672754,NA,USGS,Shark River near Neptune City NJ,40.1986111,-74.07,25,NJ,Non-ref,16.9,sedimentary,sedimentary,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",51.9,0,0,0,32.25,38.57,3.4,1.89,0,11.37,28.63987,2.017978,0.09,11.34,6.73,16.56,76.71,84,Atlantic Coastal Pine Barrens,13.34287
