site,p_mm_wy,p_mm_jja,p_mm_son,p_mm_djf,p_mm_mam,pet_mm_wy,pet_mm_jja,pet_mm_son,pet_mm_djf,pet_mm_mam,T_max_c_wy,T_max_c_jja,T_max_c_son,T_max_c_djf,T_max_c_mam,T_min_c_wy,T_min_c_jja,T_min_c_son,T_min_c_djf,T_min_c_mam,pcumdist10days,pcumdist50days,pcumdist90days,jjaflow,sonflow,djfflow,mamflow,jjanoflow,sonnoflow,djfnoflow,mamnoflow,jjacount,soncount,djfcount,mamcount,totaldataperwyear,totalflowperwyear,totalnoflowperwyear,annualfractionnoflow,jjafractionnoflow,sonfractionnoflow,djffractionnoflow,mamfractionnoflow,peakflow,peakflowmmd,peakdatewy,lowflow,lowflowmmd,lowdatewy,zeroflowfirst,zeroflowcentroiddate,zeroflowfirstjja,zeroflowcentroiddatejja,zeroflowfirstson,zeroflowcentroiddateson,zeroflowfirstdjf,zeroflowcentroiddatedjf,zeroflowfirstmam,zeroflowcentroiddatemam,area_norm_yield_mm,cumdist10days,cumdist50days,cumdist90days,totalflowperiods,meanlengthflow,maxlengthflow,minlengthflow,medianlengthflow,totalnoflowperiods,meanlengthnoflow,maxlengthnoflow,minlengthnoflow,medianlengthnoflow,cvlengthflow,cvlengthnoflow,station_nm,dec_lat_va,dec_long_va,DRAIN_SQKM,STATE,CLASS,SNOW_PCT_PRECIP,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_SITE,GEOL_HUNT_DOM_DESC,FRESHW_WITHDRAWAL,PCT_IRRIG_AG,POWER_NUM_PTS,POWER_SUM_MW,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,IMPNLCD06,ELEV_MEAN_M_BASIN,SLOPE_PCT,AWCAVE,PERMAVE,CLAYAVE,SILTAVE,SANDAVE,ECO3_SITE,ECO3
1382500,4.920019743,3.270153107,2.627832793,3.953249641,2.92039158,15.92661234,14.47634665,5.234956099,7.403760983,15.54351653,17.67062765,25.15348496,17.99350218,1.588449117,11.91291487,5.453247952,19.5324217,6.293992337,-3.984691844,2.385422886,2.429131819,7.348377507,13.40864008,Inf,21.72406917,205.140983,520.2538143,NA,0.342564297,NA,0.176776695,Inf,36.59277593,205.140983,Inf,142.6055051,83.45969606,0.338703993,0.337052627,NA,0.336695874,NA,0.176776695,1.438202732,1.438202732,2.426231778,0.736123274,0.736123274,1.254059002,0.836598919,1.481653511,NA,NA,1.989699502,2.3268675,NA,NA,NA,NA,1.67189897,1.94658609,3.922753079,5.709531067,2.013880541,5.28645829,12.78119181,3.203475131,5.091944781,0.290943394,6.350852961,NA,NA,Inf,12.0795594,2.396491949,Pequannock River at Macopin Intake Dam NJ,41.0183333,-74.4011111,164.1,NJ,Non-ref,23.3,gneiss,gneiss,"Till, or ground moraine",302.3,0,0,0,5.73,72.1,0.55,5.59,0,0.7,317.1895,8.350098,0.08,2.24,9.66,41.45,48.89,58,Northeastern Highlands
1388000,5.147928269,3.321602429,2.723742679,3.871148771,2.952701609,16.59863545,14.78739399,5.241090619,7.764235291,14.92921854,21.84186655,30.467862,15.16329585,9.311183136,10.09293202,15.01491854,19.7841403,11.28729032,2.535015256,6.56059584,2.603606635,7.343925339,13.42483111,7.186095366,21.7078155,32.25099309,28.4772502,0.169030851,0.20641346,0.169030851,0.169030851,Inf,Inf,203.5387643,Inf,823.6909031,21.92140768,0.241997169,0.241997169,0.169030851,0.20641346,0.169030851,0.169030851,1.428468838,1.428468838,1.680963606,1.587968745,1.587968745,1.860765365,0.940218907,1.264704249,NA,NA,0.731076503,0.975229055,NA,NA,NA,NA,2.742978592,2.271404627,5.303279294,6.564619785,0.748990694,4.460685245,10.7917546,4.032742286,4.14632101,0.234977473,1.352598449,NA,NA,1.807050663,3.059566117,4.70914321,Ramapo River at Pompton Lakes NJ,40.99194444,-74.28,420.6,NJ,Non-ref,21.6,gneiss,gneiss,"Till, or ground moraine",288.8,0.12,3,55.7,25.28,61.32,0.93,3.28,0,4.88,209.3638,10.24818,0.12,3.82,7.95,47.77,44.28,64,Northern Piedmont
1395000,5.435504285,3.631189906,2.678212074,3.936242421,2.917463941,14.02624296,12.99834856,5.220906309,7.805386829,14.05785136,19.90281697,28.06420264,20.8737164,2.954075978,13.73147724,9.513242463,22.22270233,9.527743552,-2.565125415,5.012441423,2.273127813,7.009575476,14.15285071,89.71336378,19.01752477,203.5387643,Inf,0.195453952,0.235754439,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,62.91052887,0.229243564,0.229185791,0.195453952,0.235754439,NA,NA,1.334320662,1.334320662,1.996940592,1.387623556,1.387623556,1.450981111,0.883883476,3.28990159,3.535533906,4.384062043,1.210455065,1.840865486,NA,NA,NA,NA,3.223748639,2.47120653,5.694669702,11.12126848,0.976878201,4.78280738,13.82856928,4.062429419,4.210703336,0.229494693,5.798275606,NA,NA,4.949747468,125.3769262,13.05162611,Rahway River at Rahway NJ,40.61888889,-74.2833333,107.9,NJ,Non-ref,17.2,sedimentary,sedimentary,"Till, or ground moraine",123,0,0,0,79.42,15.77,0.12,0.49,0,24.82,66.79955,3.825389,0.11,1.03,11.9,52.06,36.04,64,Northern Piedmont
1398000,5.86342744,3.554995067,2.621818056,3.930412058,3.368558556,16.54348123,14.53338779,5.23080156,7.882961958,15.92329478,19.45915723,27.75839583,20.33691207,2.774547077,13.62463247,6.782447049,18.75429521,6.55440918,-3.499712946,3.194992791,2.280339835,7.837832809,13.58348874,13.32189787,28.6947959,203.5387643,Inf,0.283085048,0.245332327,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,49.71245415,0.37040005,0.370336483,0.283085048,0.245332327,NA,NA,1.4785629,1.4785629,1.727724683,1.048800345,1.048800345,1.796514694,15.39852041,18.89474349,3.484787261,5.564804034,1.58771324,3.244589833,NA,NA,NA,NA,2.90855429,2.399699344,4.799490705,5.441155801,2.053378888,4.091918197,17.79971362,2.553492055,3.138654265,0.382023979,1.014675455,NA,NA,1.014675455,6.351204322,0.92717265,Neshanic River at Reaville NJ,40.4733333,-74.82777778,66,NJ,Non-ref,17.9,sedimentary,sedimentary,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from parent rock",121.4,0.19,0,0,19.22,28,46.73,0.03,0,4.41,82.10831,3.305105,0.14,2.21,20.55,55.52,23.93,64,Northern Piedmont
1401650,5.675641811,3.312174295,2.628226335,4.028319007,3.252096176,15.62497514,14.02984639,5.186288429,7.780343607,15.30805875,20.04957882,28.30121305,20.94949107,3.01767361,14.04786317,8.46804675,20.5824672,8.57185307,-3.048145818,4.213793678,2.379900642,7.096311512,13.46526219,8.465498843,7.320500969,23.65373647,Inf,0.384795402,0.346646544,0.169030851,NA,Inf,Inf,203.5387643,Inf,823.6909031,14.80692578,0.364279337,0.364227416,0.384795402,0.346646544,0.169030851,NA,1.145926967,1.145926967,1.681201867,0.93713704,0.93713704,1.998720419,1.363447033,1.991499197,2.982250193,4.590900264,0.625321026,1.366603625,NA,NA,NA,NA,3.034655113,2.372495483,4.383672922,5.736082212,0.92778564,2.460776986,8.754392413,1.516719412,2.180494381,0.453409219,1.127496806,NA,NA,1.073736277,3.336531785,2.109943279,Pike Run at Belle Mead NJ,40.46805556,-74.64888889,13.3,NJ,Non-ref,17,sedimentary,sedimentary,"Residuum on Triassic-age formations; depths less than most other saprolite, reddish color, largely inherited from parent rock",259.5,0,0,0,25.21,42.68,21.03,0,0,9.19,46.3106,2.867316,0.13,2.27,21.46,55.43,23.11,64,Northern Piedmont
1403150,5.746254746,3.354600799,2.725048162,4.345191741,3.090103553,14.12170307,12.79779817,5.08359251,7.314696696,14.39067734,18.8312408,26.03687713,19.6604951,2.712960288,13.28493396,7.169796039,19.55326928,7.109529276,-3.511196664,3.43841343,2.337018982,7.24816045,14.6483572,Inf,Inf,203.5387643,544.1103092,NA,NA,NA,NA,Inf,Inf,203.5387643,544.1103092,857.2576112,857.2576112,NA,NA,NA,NA,NA,NA,1.809119277,1.809119277,1.596684282,1.108868413,1.108868413,1.805347691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.038084692,2.36786103,5.147357357,7.473130955,Inf,857.2576112,857.2576112,857.2576112,857.2576112,NA,NA,NA,NA,NA,NA,NA,West Branch Middle Brook near Martinsville NJ,40.6122222,-74.5908333,5,NJ,Non-ref,18.6,sedimentary,sedimentary,"Till, or ground moraine",259.5,0,0,0,35.1,51.15,5.73,0,0,4.87,104.5615,5.526946,0.13,1.91,22.86,53.16,23.99,64,Northern Piedmont
1403400,5.654804631,3.77811133,2.656325329,3.964120395,3.006079679,13.94919671,12.91518206,5.199237241,7.620297668,14.0036035,18.99746427,26.41679644,19.99681032,2.744258999,13.27020737,8.03821404,20.14319602,8.073825956,-3.039342217,4.014662109,2.344196086,7.20690927,14.38069595,Inf,134.4217842,203.5387643,Inf,NA,0.169030851,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,432.042855,0.169030851,0.169030851,NA,0.169030851,NA,NA,1.008351631,1.008351631,1.718020373,1.227892805,1.227892805,1.565473302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.474485508,2.397651363,4.194545229,8.43465465,Inf,823.6909031,823.6909031,823.6909031,823.6909031,NA,NA,NA,NA,NA,NA,NA,Green Brook at Seeley Mills NJ,40.6661111,-74.40388889,16.3,NJ,Non-ref,17.3,sedimentary,sedimentary,"Till, or ground moraine",147,0,0,0,43.32,52.3,0.56,0.15,0,10.05,116.9101,7.369419,0.12,1.63,18.58,50.89,30.53,64,Northern Piedmont
1403540,5.719061442,3.633509986,2.654603446,4.059450543,3.135202885,14.09373522,12.96812933,5.185766579,7.604462526,14.15101393,19.08867694,26.38049564,20.06089482,2.819564694,13.3817192,7.948978851,20.07418308,7.932436593,-3.087237986,3.942630243,2.273088275,7.212756179,14.25091032,Inf,269.0125993,203.5387643,Inf,NA,0.169030851,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,625.2320507,0.169030851,0.169030851,NA,0.169030851,NA,NA,1.395691542,1.395691542,1.67408423,2.005727037,2.005727037,2.513821744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.601426773,2.770221199,6.277024411,7.873462377,6.085110634,11.58905042,159.6778649,5.930583607,11.58905042,0.169030851,NA,NA,NA,NA,NA,NA,Stony Brook at Watchung NJ,40.63638889,-74.45138889,14.1,NJ,Non-ref,17.3,sedimentary,sedimentary,"Till, or ground moraine",258.1,0,0,0,39.76,59.51,0.15,0.2,0,5.44,110.7558,8.485451,0.13,1.39,24.25,51.46,24.29,64,Northern Piedmont
1405400,5.979964474,3.661610916,2.549616292,3.760412421,3.3161867,14.86259702,14.13118222,5.243752223,7.666027692,13.97348594,21.10792565,29.94529934,22.50100389,3.50182061,14.40961021,9.089421477,21.12914901,9.070697496,-2.715292602,4.489820356,2.405944525,7.174603535,13.36816497,Inf,200.5862001,211.7828003,Inf,NA,0.37858358,0.169030851,NA,Inf,Inf,203.5387643,Inf,823.6909031,534.0684654,0.342405285,0.342682051,NA,0.37858358,0.169030851,NA,1.146927395,1.146927395,1.844097838,1.387077683,1.387077683,1.851336157,0.931224506,0.931011833,NA,NA,1.28911741,1.298762038,NA,NA,NA,NA,3.698327036,3.306124517,6.330202007,14.43697461,3.063477316,4.763718334,14.03847702,2.464270997,4.763718334,0.448313754,2.857738033,NA,NA,2.857738033,2.721450451,NA,Manalapan Brook at Spotswood NJ,40.38944444,-74.3905556,100.8,NJ,Non-ref,16.4,sedimentary,sedimentary,"Sandy residuum, derived by intensive weathering of sandstone formations. Sand locally is in dunes",66.1,2.49,0,0,34.18,33.3,17.22,0.38,0,8.84,34.6131,1.490574,0.12,7.13,13.55,25.92,60.53,84,Atlantic Coastal Pine Barrens
1407500,5.601348621,3.527028227,2.481802623,3.408896417,3.358365844,14.20492229,14.40497476,5.269768166,7.428542371,13.04201701,24.77915243,31.62020065,16.80222682,11.60735664,11.20447858,17.55989325,22.81334632,12.11861997,3.327918586,7.584397526,2.47606904,7.162968307,13.6239236,2.376887234,1.813426554,4.896082188,27.04493615,0.660246454,0.736579439,0.327313937,0.169030851,Inf,Inf,203.5387643,Inf,823.6909031,4.907389796,0.824115002,0.823817298,0.660246454,0.736579439,0.327274817,0.169030851,1.407001418,1.407001418,1.691643799,0.638881453,0.638881453,1.853998556,0.6218076,1.936578269,1.384838849,3.819333774,0.46380144,2.137344923,Inf,1.385464096,NA,NA,2.16240126,1.844817865,4.276536641,5.801076434,1.293556813,1.803506493,4.36347654,1.160751541,1.459925841,0.854629485,1.157433073,NA,NA,0.972409255,4.934004135,1.744689193,Swimming River near Red Bank NJ,40.3197222,-74.1155556,127.5,NJ,Non-ref,16.3,sedimentary,sedimentary,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",51.9,0.56,0,0,36,34.96,18.67,1.76,0,7.29,38.3353,2.570174,0.12,6.71,14.41,26.32,59.27,84,Atlantic Coastal Pine Barrens
1407705,5.536752598,3.447886864,2.696254064,3.415815476,3.323806002,14.76638906,15.77524263,5.29084418,7.623473877,12.51039003,21.09369142,29.86273693,23.03244172,3.665267301,13.88599393,10.21725345,22.47523094,10.5198499,-2.286456145,4.953110797,2.473952876,6.975884103,13.69706536,Inf,269.0125993,203.5387643,Inf,NA,0.169030851,NA,NA,Inf,Inf,203.5387643,Inf,823.6909031,625.2320507,0.169030851,0.169030851,NA,0.169030851,NA,NA,1.355132881,1.355132881,1.707019812,1.118952745,1.118952745,1.805259309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.045189527,2.927506052,6.148352483,10.99792107,6.085110634,11.62112347,516.8649098,5.779471485,11.62112347,0.169030851,NA,NA,NA,NA,NA,NA,Shark River near Neptune City NJ,40.1986111,-74.07,25,NJ,Non-ref,16.9,sedimentary,sedimentary,"Loam; texture variable, ranging from sand to clay, mostly non-swelling clay mineral, kaolinite; otherwise similar to rc",51.9,0,0,0,32.25,38.57,3.4,1.89,0,11.37,28.63987,2.017978,0.09,11.34,6.73,16.56,76.71,84,Atlantic Coastal Pine Barrens
